name,version,file,integrity,url
"@esbuild/android-arm64","0.28.0","tarballs/esbuild__android-arm64-0.28.0.tgz","sha512-+WzIXQOSaGs33tLEgYPYe/yQHf0WTU0X42Jca3y8NWMbUVhp7rUnw+vAsRC/QiDrdD31IszMrZy+qwPOPjd+rw==","https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.28.0.tgz"
"@esbuild/android-x64","0.18.20","tarballs/esbuild__android-x64-0.18.20.tgz","sha512-8GDdlePJA8D6zlZYJV/jnrRAi6rOiNaCC/JclcXpB+KIuvfBN4owLtgzY2bsxnx666XjJx2kDPUmnTtR8qKQUg==","https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.18.20.tgz"
"@esbuild/android-x64","0.25.12","tarballs/esbuild__android-x64-0.25.12.tgz","sha512-5jbb+2hhDHx5phYR2By8GTWEzn6I9UqR11Kwf22iKbNpYrsmRB18aX/9ivc5cabcUiAT/wM+YIZ6SG9QO6a8kg==","https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.25.12.tgz"
"@esbuild/android-x64","0.27.3","tarballs/esbuild__android-x64-0.27.3.tgz","sha512-IN/0BNTkHtk8lkOM8JWAYFg4ORxBkZQf9zXiEOfERX/CzxW3Vg1ewAhU7QSWQpVIzTW+b8Xy+lGzdYXV6UZObQ==","https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.27.3.tgz"
"@esbuild/android-x64","0.28.0","tarballs/esbuild__android-x64-0.28.0.tgz","sha512-+VJggoaKhk2VNNqVL7f6S189UzShHC/mR9EE8rDdSkdpN0KflSwWY/gWjDrNxxisg8Fp1ZCD9jLMo4m0OUfeUA==","https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.28.0.tgz"
"@esbuild/darwin-arm64","0.18.20","tarballs/esbuild__darwin-arm64-0.18.20.tgz","sha512-bxRHW5kHU38zS2lPTPOyuyTm+S+eobPUnTNkdJEfAddYgEcll4xkT8DB9d2008DtTbl7uJag2HuE5NZAZgnNEA==","https://registry.npmjs.org/@esbuild/darwin-arm64/-/darwin-arm64-0.18.20.tgz"
"@esbuild/darwin-arm64","0.25.12","tarballs/esbuild__darwin-arm64-0.25.12.tgz","sha512-N3zl+lxHCifgIlcMUP5016ESkeQjLj/959RxxNYIthIg+CQHInujFuXeWbWMgnTo4cp5XVHqFPmpyu9J65C1Yg==","https://registry.npmjs.org/@esbuild/darwin-arm64/-/darwin-arm64-0.25.12.tgz"
"@esbuild/darwin-arm64","0.27.3","tarballs/esbuild__darwin-arm64-0.27.3.tgz","sha512-Re491k7ByTVRy0t3EKWajdLIr0gz2kKKfzafkth4Q8A5n1xTHrkqZgLLjFEHVD+AXdUGgQMq+Godfq45mGpCKg==","https://registry.npmjs.org/@esbuild/darwin-arm64/-/darwin-arm64-0.27.3.tgz"
"@esbuild/darwin-arm64","0.28.0","tarballs/esbuild__darwin-arm64-0.28.0.tgz","sha512-0T+A9WZm+bZ84nZBtk1ckYsOvyA3x7e2Acj1KdVfV4/2tdG4fzUp91YHx+GArWLtwqp77pBXVCPn2We7Letr0Q==","https://registry.npmjs.org/@esbuild/darwin-arm64/-/darwin-arm64-0.28.0.tgz"
"@esbuild/darwin-x64","0.18.20","tarballs/esbuild__darwin-x64-0.18.20.tgz","sha512-pc5gxlMDxzm513qPGbCbDukOdsGtKhfxD1zJKXjCCcU7ju50O7MeAZ8c4krSJcOIJGFR+qx21yMMVYwiQvyTyQ==","https://registry.npmjs.org/@esbuild/darwin-x64/-/darwin-x64-0.18.20.tgz"
"@esbuild/darwin-x64","0.25.12","tarballs/esbuild__darwin-x64-0.25.12.tgz","sha512-HQ9ka4Kx21qHXwtlTUVbKJOAnmG1ipXhdWTmNXiPzPfWKpXqASVcWdnf2bnL73wgjNrFXAa3yYvBSd9pzfEIpA==","https://registry.npmjs.org/@esbuild/darwin-x64/-/darwin-x64-0.25.12.tgz"
"@esbuild/darwin-x64","0.27.3","tarballs/esbuild__darwin-x64-0.27.3.tgz","sha512-vHk/hA7/1AckjGzRqi6wbo+jaShzRowYip6rt6q7VYEDX4LEy1pZfDpdxCBnGtl+A5zq8iXDcyuxwtv3hNtHFg==","https://registry.npmjs.org/@esbuild/darwin-x64/-/darwin-x64-0.27.3.tgz"
"@esbuild/darwin-x64","0.28.0","tarballs/esbuild__darwin-x64-0.28.0.tgz","sha512-fyzLm/DLDl/84OCfp2f/XQ4flmORsjU7VKt8HLjvIXChJoFFOIL6pLJPH4Yhd1n1gGFF9mPwtlN5Wf82DZs+LQ==","https://registry.npmjs.org/@esbuild/darwin-x64/-/darwin-x64-0.28.0.tgz"
"@esbuild/freebsd-arm64","0.18.20","tarballs/esbuild__freebsd-arm64-0.18.20.tgz","sha512-yqDQHy4QHevpMAaxhhIwYPMv1NECwOvIpGCZkECn8w2WFHXjEwrBn3CeNIYsibZ/iZEUemj++M26W3cNR5h+Tw==","https://registry.npmjs.org/@esbuild/freebsd-arm64/-/freebsd-arm64-0.18.20.tgz"
"@esbuild/freebsd-arm64","0.25.12","tarballs/esbuild__freebsd-arm64-0.25.12.tgz","sha512-gA0Bx759+7Jve03K1S0vkOu5Lg/85dou3EseOGUes8flVOGxbhDDh/iZaoek11Y8mtyKPGF3vP8XhnkDEAmzeg==","https://registry.npmjs.org/@esbuild/freebsd-arm64/-/freebsd-arm64-0.25.12.tgz"
"@esbuild/freebsd-arm64","0.27.3","tarballs/esbuild__freebsd-arm64-0.27.3.tgz","sha512-ipTYM2fjt3kQAYOvo6vcxJx3nBYAzPjgTCk7QEgZG8AUO3ydUhvelmhrbOheMnGOlaSFUoHXB6un+A7q4ygY9w==","https://registry.npmjs.org/@esbuild/freebsd-arm64/-/freebsd-arm64-0.27.3.tgz"
"@esbuild/freebsd-arm64","0.28.0","tarballs/esbuild__freebsd-arm64-0.28.0.tgz","sha512-l9GeW5UZBT9k9brBYI+0WDffcRxgHQD8ShN2Ur4xWq/NFzUKm3k5lsH4PdaRgb2w7mI9u61nr2gI2mLI27Nh3Q==","https://registry.npmjs.org/@esbuild/freebsd-arm64/-/freebsd-arm64-0.28.0.tgz"
"@esbuild/freebsd-x64","0.18.20","tarballs/esbuild__freebsd-x64-0.18.20.tgz","sha512-tgWRPPuQsd3RmBZwarGVHZQvtzfEBOreNuxEMKFcd5DaDn2PbBxfwLcj4+aenoh7ctXcbXmOQIn8HI6mCSw5MQ==","https://registry.npmjs.org/@esbuild/freebsd-x64/-/freebsd-x64-0.18.20.tgz"
"@esbuild/freebsd-x64","0.25.12","tarballs/esbuild__freebsd-x64-0.25.12.tgz","sha512-TGbO26Yw2xsHzxtbVFGEXBFH0FRAP7gtcPE7P5yP7wGy7cXK2oO7RyOhL5NLiqTlBh47XhmIUXuGciXEqYFfBQ==","https://registry.npmjs.org/@esbuild/freebsd-x64/-/freebsd-x64-0.25.12.tgz"
"@esbuild/freebsd-x64","0.27.3","tarballs/esbuild__freebsd-x64-0.27.3.tgz","sha512-dDk0X87T7mI6U3K9VjWtHOXqwAMJBNN2r7bejDsc+j03SEjtD9HrOl8gVFByeM0aJksoUuUVU9TBaZa2rgj0oA==","https://registry.npmjs.org/@esbuild/freebsd-x64/-/freebsd-x64-0.27.3.tgz"
"@esbuild/freebsd-x64","0.28.0","tarballs/esbuild__freebsd-x64-0.28.0.tgz","sha512-BXoQai/A0wPO6Es3yFJ7APCiKGc1tdAEOgeTNy3SsB491S3aHn4S4r3e976eUnPdU+NbdtmBuLncYir2tMU9Nw==","https://registry.npmjs.org/@esbuild/freebsd-x64/-/freebsd-x64-0.28.0.tgz"
